Model                                        Precision  Chipset  Backend  SOC
SAM2-Unet-tiny                               INT8       qcs8550  QNN2.29  Qualcomm QCS8550
SAM2-Unet-tiny                               W8A16      qcs8550  QNN2.29  Qualcomm QCS8550
SAM2-Unet-tiny                               FP16       qcs8550  QNN2.29  Qualcomm QCS8550
SenseVoiceSmall                              W8A16      qcs8550  QNN2.31  Qualcomm QCS8550
SenseVoiceSmall                              FP16       qcs8550  QNN2.31  Qualcomm QCS8550
SESR-M5                                      FP16       qcs8550  QNN2.36  Qualcomm QCS8550
SESR-M5                                      INT8       qcs8550  QNN2.36  Qualcomm QCS8550
SESR-M5                                      W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
Shufflenet-v2                                INT8       qcs8550  QNN2.16  Qualcomm QCS8550
Shufflenet-v2                                FP16       qcs8550  QNN2.36  Qualcomm QCS8550
Shufflenet-v2                                W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
SigLIP-base                                  FP16       qcs8550  QNN2.36  Qualcomm QCS8550
SigLIP-so400m                                FP16       qcs8550  QNN2.36  Qualcomm QCS8550
SINet                                        FP16       qcs8550  QNN2.36  Qualcomm QCS8550
SINet                                        INT8       qcs8550  QNN2.36  Qualcomm QCS8550
SINet                                        W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
SmolLM2-360M-Instruct                        W4A16      qcs8550  QNN2.36  Qualcomm QCS8550
SmolVLA Base                                 FP16       qcs8550  QNN2.36  Qualcomm QCS8550
SmolVLM-500M-Instruct                        W8A16      qcs8550  QNN2.40  Qualcomm QCS8550
Squeezenet                                   FP16       qcs8550  QNN2.36  Qualcomm QCS8550
Squeezenet                                   INT8       qcs8550  QNN2.36  Qualcomm QCS8550
Squeezenet                                   W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
Stable-Diffusion-v2.1                        W8A16      qcs8550  QNN2.31  Qualcomm QCS8550
StereoNet                                    FP16       qcs8550  QNN2.36  Qualcomm QCS8550
SuperPoint                                   FP16       qcs8550  QNN2.36  Qualcomm QCS8550
Swin-Base                                    FP16       qcs8550  QNN2.36  Qualcomm QCS8550
Swin-Base                                    W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
Swin-Small                                   FP16       qcs8550  QNN2.36  Qualcomm QCS8550
Swin-Small                                   W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
Swin-Tiny                                    FP16       qcs8550  QNN2.36  Qualcomm QCS8550
Swin-Tiny                                    W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
TrOCR                                        FP16       qcs8550  QNN2.36  Qualcomm QCS8550
U-Net                                        FP16       qcs8550  QNN2.36  Qualcomm QCS8550
U-Net                                        W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
U-Net                                        INT8       qcs8550  QNN2.36  Qualcomm QCS8550
VGG16                                        FP16       qcs8550  QNN2.36  Qualcomm QCS8550
VGG16                                        INT8       qcs8550  QNN2.36  Qualcomm QCS8550
VGG19                                        FP16       qcs8550  QNN2.36  Qualcomm QCS8550
VGG19                                        INT8       qcs8550  QNN2.36  Qualcomm QCS8550
VGG19                                        W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
ViT                                          FP16       qcs8550  QNN2.36  Qualcomm QCS8550
ViT                                          W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
ViT-Base-patch32-384                         W8A16      qcs8550  QNN2.36  Qualcomm QCS8550
ViT-Base-patch32-384                         FP16       qcs8550  QNN2.36  Qualcomm QCS8550
WeNet                                        FP32       qcs8550  ONNX     Qualcomm QCS8550
WeTTS                                        FP32       qcs8550  ONNX     Qualcomm QCS8550
Whisper-base                                 W8A16      qcs8550  QNN2.40  Qualcomm QCS8550
Whisper-base                                 FP16       qcs8550  QNN2.40  Qualcomm QCS8550
Whisper-base.en                              FP16       qcs8550  QNN2.40  Qualcomm QCS8550
Whisper-distill-large-v3                     FP16       qcs8550  QNN2.40  Qualcomm QCS8550
Whisper-large-v3-turbo                       FP16       qcs8550  QNN2.40  Qualcomm QCS8550
